[L]# 06:26:49--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:54--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:54--407  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:59--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:59--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:04--415  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:04--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:09--410  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:09--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:14--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:14--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:19--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:19--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:24--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:24--434  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:29--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:29--408  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:34--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:34--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:39--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:39--419  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:44--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:44--411  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:49--417  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:49--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:54--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:54--420  ThreadID:1 >> 对战房间负载：0个
[L]# 06:27:59--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:27:59--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:04--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:04--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:09--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:09--414  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:14--410  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:14--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:19--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:19--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:24--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:24--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:29--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:29--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:34--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:34--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:39--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:39--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:44--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:44--420  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:49--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:49--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:54--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:54--434  ThreadID:1 >> 对战房间负载：0个
[L]# 06:28:59--415  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:28:59--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:04--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:04--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:09--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:09--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:14--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:14--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:19--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:19--425  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:24--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:24--414  ThreadID:1 >> 对战房间负载：0个
[L]# 06:29:29--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:29:29--413  ThreadID:1 >> 对战房间负载：0个
